,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
0,BMW 1 Series 116d,info.php?ID=950050&DL=2913,"$77,800 ","                                $10,770 /yrView models with similar depre ",26-Jul-2017(6yrs 7mths 9days COE left)                            ,"                                        76,600 km (22.6k /yr)                                     ","                                    	$1,082 /yr","$44,002","1,496 cc                                    ","                                    1,350 kg                                    ",2017,Auto,"$25,894",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car "
1,Toyota Wish 1.8A (COE till 11/2022),info.php?ID=928124&DL=1220,"$15,500 ","                                $8,200 /yr                            ",07-Nov-2007(1yr 10mths 21days COE left)                            ,"                                        172,000 km (13.1k /yr)                                     ","                                    	$1,361 /yr","$25,084","1,794 cc                                    ","                                    1,300 kg                                    ",2007,Auto,"$16,527",97.0 kW (130 bhp),3,MPV,"Category
COE Car "
2,Audi TT Roadster 2.0A TFSI S-tronic (New 10-yr COE),info.php?ID=944820&DL=3125,"$83,800 ","                                $8,380 /yr                            ",23-Dec-2010(10yrs  COE left)                            ,                                        N.A.                                     ,"                                    	$1,194 /yr",N.A.,"1,984 cc                                    ","                                    1,315 kg                                    ",2009,Auto,"$54,102",147.0 kW (197 bhp),3,Sports Car,"Category
COE Car, Premium Ad Car "
3,BMW 5 Series 520i (New 10-yr COE),info.php?ID=941944&DL=1220,"$86,800 ","                                $8,680 /yr                            ",31-Oct-2011(10yrs  COE left)                            ,"                                        140,000 km (15.3k /yr)                                     ","                                    	$1,210 /yr",N.A.,"1,997 cc                                    ","                                    1,610 kg                                    ",2011,Auto,"$45,036",135.0 kW (181 bhp),1,Luxury Sedan,"Category
COE Car "
4,Honda Civic Type R 2.0M (COE till 03/2029),info.php?ID=952605&DL=1000,N.A ,                                N.A                            ,02-Jun-2009(8yrs 3mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,452 /yr","$33,018","1,998 cc                                    ","                                    1,270 kg                                    ",2008,Manual,"$34,597",165.0 kW (221 bhp),1,Sports Car,"Category
COE Car, Direct Owner Sale, Low Mileage Car "
5,Opel Astra 1.4A Turbo,info.php?ID=948131&DL=2913,"$59,800 ","                                $8,670 /yrView models with similar depre ",30-Dec-2016(6yrs 13days COE left)                            ,"                                        43,000 km (10.8k /yr)                                     ",                                    	$626 /yr,"$51,109","1,399 cc                                    ","                                    1,233 kg                                    ",2016,Auto,"$19,839",110.0 kW (147 bhp),2,Hatchback,"Category
PARF Car "
6,Toyota Harrier 2.0A Premium,info.php?ID=952563&DL=3269,"$83,888 ","                                $12,890 /yrView models with similar depre ",15-Apr-2016(5yrs 3mths 29days COE left)                            ,"                                        60,540 km (13k /yr)                                     ","                                    	$1,196 /yr","$50,089","1,986 cc                                    ","                                    1,610 kg                                    ",2016,Auto,"$30,993",111.0 kW (148 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
7,Volkswagen Golf 1.4A TSI,info.php?ID=952854&DL=1000,"$35,800 ","                                $13,360 /yrView models with similar depre ",28-May-2013(2yrs 5mths 11days COE left)                            ,                                        N.A.                                     ,                                    	$624 /yr,"$62,497","1,395 cc                                    ","                                    1,249 kg                                    ",2013,Auto,"$20,925",90.0 kW (120 bhp),2,Hatchback,"Category
PARF Car, Direct Owner Sale "
8,BMW 2 Series 216d Active Tourer,info.php?ID=947953&DL=2913,"$82,800 ","                                $10,730 /yrView models with similar depre ",22-Aug-2017(6yrs 8mths 5days COE left)                            ,"                                        70,000 km (21.1k /yr)                                     ","                                    	$1,082 /yr","$46,778","1,496 cc                                    ","                                    1,395 kg                                    ",2017,Auto,"$28,674",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car "
9,Mercedes-Benz E-Class E200,info.php?ID=951907&DL=2913,"$91,800 ","                                $15,400 /yrView models with similar depre ",25-May-2015(4yrs 5mths 8days COE left)                            ,"                                        60,000 km (10.8k /yr)                                     ","                                    	$1,202 /yr","$76,612","1,991 cc                                    ","                                    1,655 kg                                    ",2014,Auto,"$42,793",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
10,Maserati Ghibli 3.0A V6 GranSport,info.php?ID=952697&DL=1000,"$340,000 ","                                $31,360 /yrView models with similar depre ",10-Dec-2019(8yrs 11mths 23days COE left)                            ,"                                        9,000 km (8.8k /yr)                                     ","                                    	$2,362 /yr","$40,889","2,979 cc                                    ","                                    1,850 kg                                    ",2019,Auto,"$80,189",257.0 kW (344 bhp),1,Luxury Sedan,"Category
PARF Car, Direct Owner Sale, Rare & Exotic, Low Mileage Car "
11,Mitsubishi Evolution 10 GSR (COE till 09/2028),info.php?ID=952964&DL=3108,"$117,888 ","                                $15,150 /yr                            ",26-Sep-2008(7yrs 9mths 9days COE left)                            ,                                        N.A.                                     ,"                                    	$1,573 /yr","$33,377","1,998 cc                                    ","                                    1,520 kg                                    ",2007,Manual,"$29,946",206.0 kW (276 bhp),2,Sports Car,"Category
COE Car, Consignment Car "
12,Honda Civic 1.6A VTi (New 5-yr COE),info.php?ID=952969&DL=1194,"$36,800 ","                                $7,360 /yr                            ",01-Mar-2011(5yrs  COE left)                            ,                                        N.A.                                     ,                                    	$740 /yr,N.A.,"1,595 cc                                    ","                                    1,220 kg                                    ",2009,Auto,"$23,565",92.0 kW (123 bhp),2,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
13,BMW 3 Series 325i Coupe Sunroof (COE till 08/2030),info.php?ID=906595&DL=1000,"$69,500 ","                                $7,160 /yr                            ",27-Oct-2010(9yrs 8mths 15days COE left)                            ,"                                        150,000 km (14.8k /yr)                                     ","                                    	$1,976 /yr","$32,914","2,497 cc                                    ","                                    1,460 kg                                    ",2010,Auto,"$42,055",160.0 kW (214 bhp),5,Sports Car,"Category
COE Car, Direct Owner Sale "
14,Toyota Vios 1.5A E (COE till 04/2024),info.php?ID=952967&DL=3765,"$20,088 ","                                $5,970 /yr                            ",28-Apr-2009(3yrs 4mths 11days COE left)                            ,"                                        140,000 km (12k /yr)                                     ",                                    	$821 /yr,"$13,088","1,497 cc                                    ","                                    1,095 kg                                    ",2009,Auto,"$12,104",80.0 kW (107 bhp),3,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
15,Toyota Camry Hybrid 2.5A G,info.php?ID=952965&DL=2015,"$103,800 ","                                $10,890 /yrView models with similar depre ",04-Jan-2019(8yrs 18days COE left)                            ,"                                        13,000 km (6.7k /yr)                                     ","                                    	$1,784 /yr","$32,000","2,487 cc                                    ","                                    1,570 kg                                    ",2018,Auto,"$35,821",155.0 kW (207 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car, Hybrid Cars "
16,Nissan Qashqai 1.2A DIG-T Premium,info.php?ID=952957&DL=1026,"$72,800 ","                                $9,520 /yrView models with similar depre ",31-Oct-2017(6yrs 10mths 14days COE left)                            ,"                                        69,400 km (22.2k /yr)                                     ",                                    	$508 /yr,"$41,617","1,197 cc                                    ","                                    1,325 kg                                    ",2017,Auto,"$19,750",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
17,Toyota Alphard 2.4A (New 10-yr COE),info.php?ID=952955&DL=3318,"$78,800 ","                                $7,880 /yr                            ",21-Dec-2010(10yrs  COE left)                            ,"                                        95,000 km (9.5k /yr)                                     ","                                    	$1,638 /yr",N.A.,"2,362 cc                                    ","                                    1,920 kg                                    ",2010,Auto,"$44,006",125.0 kW (167 bhp),3,MPV,"Category
COE Car, Premium Ad Car, Low Mileage Car "
18,Suzuki Swift Sport 1.6A (COE till 04/2029),info.php?ID=952951&DL=1000,"$50,200 ","                                $5,990 /yr                            ",11-May-2009(8yrs 4mths 14days COE left)                            ,"                                        103,000 km (8.9k /yr)                                     ",                                    	$883 /yr,"$26,175","1,586 cc                                    ","                                    1,070 kg                                    ",2008,Auto,"$13,506",92.0 kW (123 bhp),4,Hatchback,"Category
COE Car, Direct Owner Sale, Low Mileage Car "
19,Citroen DS4 Crossback Diesel 1.6A BlueHDi,info.php?ID=944661&DL=2689,"$61,777 ","                                $8,420 /yrView models with similar depre ",07-Jul-2017(6yrs 6mths 20days COE left)                            ,"                                        60,000 km (17.4k /yr)                                     ","                                    	$1,144 /yr","$45,201","1,560 cc                                    ","                                    1,310 kg                                    ",2016,Auto,"$25,839",88.0 kW (118 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
20,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,info.php?ID=942671&DL=2689,"$73,777 ","                                $11,400 /yrView models with similar depre ",26-May-2016(5yrs 5mths 9days COE left)                            ,"                                        57,865 km (12.7k /yr)                                     ","                                    	$1,210 /yr","$51,010","1,997 cc                                    ","                                    1,626 kg                                    ",2016,Auto,"$22,509",106.0 kW (142 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
21,Honda Odyssey 2.4A EXV-S Sunroof,info.php?ID=934379&DL=2689,"$88,777 ","                                $12,950 /yrView models with similar depre ",04-Jul-2016(5yrs 6mths 17days COE left)                            ,"                                        88,000 km (19.8k /yr)                                     ","                                    	$1,630 /yr","$57,010","2,356 cc                                    ","                                    1,855 kg                                    ",2016,Auto,"$29,939",129.0 kW (172 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
22,BMW 2 Series 216d Gran Tourer Luxury,info.php?ID=932891&DL=2689,"$89,777 ","                                $12,520 /yrView models with similar depre ",28-Feb-2017(6yrs 2mths 11days COE left)                            ,"                                        49,853 km (13.1k /yr)                                     ","                                    	$1,082 /yr","$49,430","1,496 cc                                    ","                                    1,480 kg                                    ",2016,Auto,"$30,197",85.0 kW (113 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
23,Lexus LS460 MR (COE till 05/2027),info.php?ID=952937&DL=2726,"$62,800 ","                                $9,730 /yr                            ",15-Jun-2007(6yrs 5mths 15days COE left)                            ,"                                        103,000 km (7.6k /yr)                                     ","                                    	$6,863 /yr","$52,491","4,608 cc                                    ","                                    1,925 kg                                    ",2007,Auto,"$85,695",280.0 kW (375 bhp),1,Luxury Sedan,"Category
COE Car, Premium Ad Car, Low Mileage Car "
24,Volvo V40 T2,info.php?ID=951869&DL=2689,"$62,777 ","                                $10,070 /yrView models with similar depre ",31-Mar-2016(5yrs 3mths 14days COE left)                            ,"                                        56,123 km (11.9k /yr)                                     ",                                    	$684 /yr,"$56,001","1,498 cc                                    ","                                    1,450 kg                                    ",2016,Auto,"$22,879",90.0 kW (120 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
25,Audi Q3 1.4A TFSI S-Tronic,info.php?ID=950715&DL=2015,"$79,800 ","                                $12,690 /yrView models with similar depre ",30-Nov-2015(4yrs 11mths 13days COE left)                            ,"                                        30,000 km (5.9k /yr)                                     ",                                    	$624 /yr,"$62,019","1,395 cc                                    ","                                    1,480 kg                                    ",2015,Auto,"$29,898",110.0 kW (147 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
26,Honda Vezel 1.5A X Honda Sensing,info.php?ID=947897&DL=2015,"$62,800 ","                                $8,690 /yrView models with similar depre ",26-May-2017(6yrs 5mths 9days COE left)                            ,"                                        74,000 km (20.8k /yr)                                     ",                                    	$682 /yr,"$46,489","1,496 cc                                    ","                                    1,190 kg                                    ",2016,Auto,"$22,587",96.0 kW (128 bhp),2,SUV,"Category
PARF Car, Premium Ad Car, sgCarMart Warranty Cars "
27,Toyota Corolla Altis 1.6A Elegance,info.php?ID=947670&DL=2015,"$64,800 ","                                $8,810 /yrView models with similar depre ",07-Mar-2017(6yrs 2mths 18days COE left)                            ,"                                        75,900 km (20.1k /yr)                                     ",                                    	$742 /yr,"$49,430","1,598 cc                                    ","                                    1,215 kg                                    ",2016,Auto,"$19,990",90.0 kW (120 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
28,Nissan Qashqai 1.2A DIG-T Premium,info.php?ID=947329&DL=2015,"$71,800 ","                                $9,470 /yrView models with similar depre ",06-Oct-2017(6yrs 9mths 19days COE left)                            ,"                                        41,500 km (13k /yr)                                     ",                                    	$508 /yr,"$41,761","1,197 cc                                    ","                                    1,325 kg                                    ",2017,Auto,"$19,750",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
29,Toyota Wish 1.8A,info.php?ID=946646&DL=2015,"$58,800 ","                                $9,800 /yrView models with similar depre ",09-Sep-2015(4yrs 8mths 23days COE left)                            ,"                                        76,500 km (14.5k /yr)                                     ",                                    	$976 /yr,"$62,140","1,798 cc                                    ","                                    1,360 kg                                    ",2015,Auto,"$23,454",105.0 kW (140 bhp),1,MPV,"Category
PARF Car, Premium Ad Car, sgCarMart Warranty Cars "
30,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),info.php?ID=946263&DL=3495,"$56,800 ","                                $5,680 /yr                            ",03-Jan-2011(10yrs  COE left)                            ,"                                        106,000 km (10.6k /yr)                                     ",                                    	$620 /yr,N.A.,"1,390 cc                                    ","                                    1,285 kg                                    ",2010,Auto,"$25,307",118.0 kW (158 bhp),4,Sports Car,"Category
COE Car, Premium Ad Car "
31,Honda Stream 1.8A (COE till 06/2023),info.php?ID=942030&DL=3271,"$18,800 ","                                $7,620 /yr                            ",06-Jun-2008(2yrs 5mths 20days COE left)                            ,                                        N.A.                                     ,"                                    	$1,271 /yr","$18,953","1,799 cc                                    ","                                    1,350 kg                                    ",2007,Auto,"$23,245",103.0 kW (138 bhp),4,MPV,"Category
COE Car, Premium Ad Car "
32,Subaru Forester 2.0i-L Sunroof,info.php?ID=941386&DL=2015,"$63,500 ","                                $9,630 /yrView models with similar depre ",16-Sep-2016(5yrs 8mths 30days COE left)                            ,"                                        79,884 km (18.8k /yr)                                     ","                                    	$1,208 /yr","$57,002","1,995 cc                                    ","                                    1,566 kg                                    ",2016,Auto,"$16,215",110.0 kW (147 bhp),2,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
33,Nissan Qashqai 2.0A Premium Moonroof,info.php?ID=952949&DL=1032,"$66,800 ","                                $9,530 /yrView models with similar depre ",07-Dec-2016(5yrs 11mths 20days COE left)                            ,"                                        86,808 km (21.6k /yr)                                     ","                                    	$1,210 /yr","$56,206","1,997 cc                                    ","                                    1,379 kg                                    ",2016,Auto,"$19,653",106.0 kW (142 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
34,Mazda 6 2.5A Premium,info.php?ID=950438&DL=2015,"$64,800 ","                                $9,780 /yrView models with similar depre ",22-Feb-2016(5yrs 2mths 5days COE left)                            ,"                                        102,300 km (21.2k /yr)                                     ","                                    	$1,786 /yr","$55,089","2,488 cc                                    ","                                    1,513 kg                                    ",2015,Auto,"$25,858",141.0 kW (189 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, sgCarMart Warranty Cars "
35,Mercedes-Benz B-Class B180,info.php?ID=949606&DL=2015,"$50,800 ","                                $12,050 /yrView models with similar depre ",19-Jun-2014(3yrs 6mths 2days COE left)                            ,"                                        117,300 km (18k /yr)                                     ",                                    	$740 /yr,"$65,689","1,595 cc                                    ","                                    1,425 kg                                    ",2014,Auto,"$25,050",90.0 kW (120 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
36,Volkswagen Sharan 2.0A TSI,info.php?ID=946688&DL=2015,"$82,800 ","                                $12,210 /yrView models with similar depre ",26-Nov-2015(4yrs 11mths 9days COE left)                            ,"                                        59,600 km (11.8k /yr)                                     ","                                    	$1,194 /yr","$61,103","1,984 cc                                    ","                                    1,790 kg                                    ",2015,Auto,"$37,716",147.0 kW (197 bhp),1,MPV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
37,Honda Civic 2.0A (COE till 10/2023),info.php?ID=945759&DL=3271,"$24,500 ","                                $8,550 /yr                            ",29-Oct-2008(2yrs 10mths 12days COE left)                            ,                                        N.A.                                     ,"                                    	$1,573 /yr","$16,140","1,998 cc                                    ","                                    1,312 kg                                    ",2008,Auto,"$24,243",114.0 kW (152 bhp),More than 6,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
38,Toyota C-HR Hybrid 1.8A G,info.php?ID=945370&DL=3271,"$89,800 ","                                $10,380 /yrView models with similar depre ",11-May-2018(7yrs 4mths 24days COE left)                            ,"                                        25,000 km (9.6k /yr)                                     ",                                    	$974 /yr,"$39,903","1,797 cc                                    ","                                    1,440 kg                                    ",2017,Auto,"$31,382",90.0 kW (120 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car, Hybrid Cars "
39,Mercedes-Benz A-Class A200 Style,info.php?ID=943290&DL=2015,"$93,800 ","                                $12,810 /yrView models with similar depre ",26-May-2017(6yrs 5mths 9days COE left)                            ,"                                        41,700 km (11.7k /yr)                                     ",                                    	$740 /yr,"$53,300","1,595 cc                                    ","                                    1,395 kg                                    ",2016,Auto,"$25,411",115.0 kW (154 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
40,Nissan Qashqai 2.0A Premium Moonroof,info.php?ID=941945&DL=2015,"$79,800 ","                                $10,070 /yrView models with similar depre ",20-Sep-2017(6yrs 9mths 3days COE left)                            ,"                                        58,000 km (17.9k /yr)                                     ","                                    	$1,210 /yr","$49,000","1,997 cc                                    ","                                    1,425 kg                                    ",2017,Auto,"$22,484",106.0 kW (142 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
41,Mazda 5 2.0A Sunroof,info.php?ID=941237&DL=2015,"$49,500 ","                                $9,870 /yrView models with similar depre ",28-Apr-2015(4yrs 4mths 11days COE left)                            ,"                                        104,000 km (18.4k /yr)                                     ","                                    	$1,210 /yr","$72,100","1,998 cc                                    ","                                    1,535 kg                                    ",2015,Auto,"$17,873",111.0 kW (148 bhp),1,MPV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
42,Mazda CX-5 2.5A Luxury Sunroof,info.php?ID=940853&DL=2015,"$81,800 ","                                $11,020 /yrView models with similar depre ",30-Dec-2016(6yrs 13days COE left)                            ,"                                        63,200 km (15.9k /yr)                                     ","                                    	$1,786 /yr","$56,340","2,488 cc                                    ","                                    1,568 kg                                    ",2016,Auto,"$27,550",141.0 kW (189 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
43,Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,info.php?ID=938434&DL=2015,"$125,800 ","                                $14,100 /yrView models with similar depre ",28-Sep-2016(5yrs 9mths 11days COE left)                            ,"                                        86,800 km (20.6k /yr)                                     ","                                    	$1,212 /yr","$55,501","1,999 cc                                    ","                                    1,841 kg                                    ",2015,Auto,"$64,751",177.0 kW (237 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
44,Lexus NX Hybrid NX300h Luxury,info.php?ID=937740&DL=2015,"$98,800 ","                                $16,420 /yrView models with similar depre ",30-Apr-2015(4yrs 4mths 13days COE left)                            ,"                                        78,600 km (13.9k /yr)                                     ","                                    	$2,338 /yr","$79,500","2,494 cc                                    ","                                    1,800 kg                                    ",2015,Auto,"$51,157",147.0 kW (197 bhp),2,SUV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car, Hybrid Cars "
45,Nissan Qashqai 1.2A DIG-T,info.php?ID=952946&DL=1400,"$63,800 ","                                $9,460 /yrView models with similar depre ",23-Dec-2016(6yrs 6days COE left)                            ,"                                        42,000 km (10.5k /yr)                                     ",                                    	$508 /yr,"$48,000","1,197 cc                                    ","                                    1,285 kg                                    ",2016,Auto,"$18,689",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
46,Audi A3 Sedan 1.4A TFSI Ambiente,info.php?ID=952943&DL=3175,"$71,800 ","                                $11,870 /yrView models with similar depre ",19-Feb-2016(5yrs 2mths 2days COE left)                            ,"                                        48,000 km (9.9k /yr)                                     ",                                    	$624 /yr,"$46,651","1,395 cc                                    ","                                    1,310 kg                                    ",2015,Auto,"$27,607",92.0 kW (123 bhp),2,Luxury Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
47,Lexus IS250 (COE till 06/2021),info.php?ID=952922&DL=1000,"$9,888 ","                                $18,410 /yr                            ",19-Jul-2006(6mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$2,700 /yr","$24,240","2,500 cc                                    ","                                    1,625 kg                                    ",2006,Auto,"$35,838",153.0 kW (205 bhp),More than 6,Luxury Sedan,"Category
COE Car, Direct Owner Sale "
48,Toyota Rush 1.5A (COE till 01/2022),info.php?ID=952542&DL=1000,"$9,800 ","                                $9,220 /yr                            ",09-Jan-2007(1yr 23days COE left)                            ,"                                        192,000 km (13.8k /yr)                                     ",                                    	$955 /yr,"$25,323","1,495 cc                                    ","                                    1,150 kg                                    ",2006,Auto,"$15,753",80.0 kW (107 bhp),3,SUV,"Category
COE Car, Direct Owner Sale "
49,Mazda 6 2.0A,info.php?ID=949237&DL=2015,"$69,500 ","                                $9,480 /yrView models with similar depre ",29-Dec-2016(6yrs 12days COE left)                            ,"                                        103,300 km (26k /yr)                                     ","                                    	$1,210 /yr","$56,340","1,998 cc                                    ","                                    1,472 kg                                    ",2016,Auto,"$23,300",121.0 kW (162 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, sgCarMart Warranty Cars "
50,Honda Odyssey 2.4A EXV-S Sunroof,info.php?ID=948543&DL=2015,"$94,800 ","                                $11,380 /yrView models with similar depre ",26-Sep-2017(6yrs 9mths 9days COE left)                            ,                                        N.A.                                     ,"                                    	$1,630 /yr","$55,414","2,356 cc                                    ","                                    1,855 kg                                    ",2017,Auto,"$30,986",129.0 kW (172 bhp),1,MPV,"Category
PARF Car, Premium Ad Car, STA Evaluated Car "
51,Toyota Harrier 2.0A Premium Panoramic,info.php?ID=952933&DL=2440,"$96,800 ","                                $12,550 /yrView models with similar depre ",12-Apr-2017(6yrs 3mths 26days COE left)                            ,"                                        29,000 km (7.9k /yr)                                     ","                                    	$1,196 /yr","$54,000","1,986 cc                                    ","                                    1,610 kg                                    ",2016,Auto,"$34,276",111.0 kW (148 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
52,Toyota Corolla Altis 1.6A Elegance,info.php?ID=952931&DL=2440,"$65,800 ","                                $8,880 /yrView models with similar depre ",30-Mar-2017(6yrs 3mths 13days COE left)                            ,"                                        79,000 km (21.2k /yr)                                     ",                                    	$742 /yr,"$50,789","1,598 cc                                    ","                                    1,215 kg                                    ",2016,Auto,"$19,990",90.0 kW (120 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
53,Honda Vezel Hybrid 1.5A X Honda Sensing,info.php?ID=952926&DL=1032,"$54,800 ","                                $9,620 /yrView models with similar depre ",24-May-2016(5yrs 5mths 7days COE left)                            ,"                                        78,138 km (17.1k /yr)                                     ",                                    	$682 /yr,"$51,010","1,496 cc                                    ","                                    1,280 kg                                    ",2016,Auto,"$27,493",112.0 kW (150 bhp),2,SUV,"Category
PARF Car, Premium Ad Car, Hybrid Cars "
54,Porsche Cayenne 3.6A Tip (COE till 05/2027),info.php?ID=952920&DL=3301,"$77,000 ","                                $11,980 /yr                            ",21-May-2007(6yrs 5mths 4days COE left)                            ,                                        N.A.                                     ,"                                    	$4,651 /yr","$52,491","3,598 cc                                    ","                                    2,245 kg                                    ",2007,Auto,"$82,643",213.0 kW (285 bhp),6,SUV,"Category
COE Car, Premium Ad Car "
55,Kia Soul 1.6A (New 5-yr COE),info.php?ID=952919&DL=1406,"$35,800 ","                                $7,160 /yr                            ",30-Dec-2010(5yrs  COE left)                            ,"                                        126,500 km (12.7k /yr)                                     ",                                    	$738 /yr,N.A.,"1,591 cc                                    ","                                    1,287 kg                                    ",2010,Auto,"$14,741",92.7 kW (124 bhp),3,Hatchback,"Category
COE Car, Premium Ad Car "
56,Volkswagen Polo 1.2A (New 5-yr COE),info.php?ID=952897&DL=3588,"$32,800 ","                                $6,560 /yr                            ",09-Dec-2010(5yrs  COE left)                            ,"                                        93,000 km (9.3k /yr)                                     ",                                    	$508 /yr,N.A.,"1,197 cc                                    ",                                    N.A.                                    ,2010,Auto,"$16,987",77.0 kW (103 bhp),3,Hatchback,"Category
COE Car, Premium Ad Car, Low Mileage Car "
57,Mitsubishi Lancer EX 1.5A GLS (COE till 04/2023),info.php?ID=946724&DL=3707,"$15,800 ","                                $6,770 /yr                            ",18-Apr-2008(2yrs 4mths 1day COE left)                            ,"                                        250,000 km (19.7k /yr)                                     ",                                    	$889 /yr,"$19,328","1,499 cc                                    ","                                    1,313 kg                                    ",2008,Auto,"$17,142",80.0 kW (107 bhp),5,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
58,Mazda MX-5 Roadster 2.0A RHT (COE till 05/2028),info.php?ID=945963&DL=3707,"$58,888 ","                                $7,910 /yr                            ",26-May-2008(7yrs 5mths 9days COE left)                            ,"                                        173,000 km (13.8k /yr)                                     ","                                    	$1,573 /yr","$38,712","1,998 cc                                    ","                                    1,140 kg                                    ",2007,Auto,"$25,880",122.0 kW (163 bhp),4,Sports Car,"Category
COE Car, Premium Ad Car "
59,Toyota Estima Hybrid 2.4A X (COE till 05/2028),info.php?ID=941242&DL=3707,"$60,800 ","                                $8,150 /yr                            ",25-Jun-2008(7yrs 5mths 15days COE left)                            ,"                                        218,000 km (17.5k /yr)                                     ","                                    	$2,338 /yr","$38,712","2,362 cc                                    ","                                    1,930 kg                                    ",2008,Auto,"$38,103",110.0 kW (147 bhp),6,MPV,"Category
COE Car, Premium Ad Car, Hybrid Cars "
60,Toyota Corolla Ascent Hybrid 1.8A Sport,info.php?ID=952923&DL=3777,"$115,988 ","                                $10,950 /yrView models with similar depre ",17-Sep-2020(9yrs 9mths  COE left)                            ,                                        88 km                                     ,                                    	$974 /yr,"$38,110","1,797 cc                                    ","                                    1,375 kg                                    ",2020,Auto,"$25,987",90.0 kW (120 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Almost New Car, Premium Ad Car, Low Mileage Car, Hybrid Cars "
61,Volvo V40 Cross Country T4,info.php?ID=952916&DL=3647,"$46,800 ","                                $11,850 /yrView models with similar depre ",30-Aug-2013(2yrs 8mths 13days COE left)                            ,"                                        78,000 km (10.7k /yr)                                     ",                                    	$742 /yr,"$77,000","1,596 cc                                    ","                                    1,438 kg                                    ",2013,Auto,"$30,421",132.0 kW (177 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
62,Volkswagen Tiguan 1.4A TSI Highline,info.php?ID=952903&DL=2291,"$111,800 ","                                $12,500 /yrView models with similar depre ",20-Apr-2018(7yrs 4mths 3days COE left)                            ,"                                        26,888 km (10.1k /yr)                                     ",                                    	$624 /yr,"$39,001","1,395 cc                                    ","                                    1,498 kg                                    ",2018,Auto,"$34,277",110.0 kW (147 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
63,Audi A5 Cabriolet 2.0A TFSI Quattro S-tronic,info.php?ID=952900&DL=3049,"$77,000 ","                                $20,740 /yrView models with similar depre ",12-Apr-2013(2yrs 3mths 26days COE left)                            ,"                                        84,500 km (11k /yr)                                     ","                                    	$1,194 /yr","$80,191","1,984 cc                                    ","                                    1,660 kg                                    ",2011,Auto,"$57,860",155.0 kW (207 bhp),2,Sports Car,"Category
PARF Car, Consignment Car "
64,Honda Vezel 1.5A X,info.php?ID=952890&DL=1290,"$51,800 ","                                $9,350 /yrView models with similar depre ",28-Dec-2015(5yrs 11days COE left)                            ,                                        N.A.                                     ,                                    	$682 /yr,"$56,989","1,496 cc                                    ","                                    1,190 kg                                    ",2015,Auto,"$19,503",96.0 kW (128 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
